strain,Sequencing_technology,Primers_used,simple_strain,Primers
SouthAfrica/KRISP-K019778/2021,Illumina Miseq,ARTIC_V3,KRISP-K019778,
SouthAfrica/KRISP-K019779/2021,Illumina Miseq,ARTIC_V3,KRISP-K019779,
SouthAfrica/KRISP-K019780/2021,Illumina Miseq,ARTIC_V3,KRISP-K019780,
SouthAfrica/KRISP-K019781/2021,Illumina Miseq,ARTIC_V3,KRISP-K019781,
SouthAfrica/KRISP-K019782/2021,Illumina Miseq,ARTIC_V3,KRISP-K019782,
SouthAfrica/KRISP-K019783/2021,Illumina Miseq,ARTIC_V3,KRISP-K019783,
SouthAfrica/KRISP-K019785/2021,Illumina Miseq,ARTIC_V3,KRISP-K019785,
SouthAfrica/KRISP-K019790/2021,Illumina Miseq,ARTIC_V3,KRISP-K019790,
SouthAfrica/KRISP-K019791/2021,Illumina Miseq,ARTIC_V3,KRISP-K019791,
SouthAfrica/KRISP-K019792/2021,Illumina Miseq,ARTIC_V3,KRISP-K019792,
SouthAfrica/KRISP-K019793/2021,Illumina Miseq,ARTIC_V3,KRISP-K019793,
SouthAfrica/KRISP-K019794/2021,Illumina Miseq,ARTIC_V3,KRISP-K019794,
SouthAfrica/KRISP-K019795/2021,Illumina Miseq,ARTIC_V3,KRISP-K019795,
SouthAfrica/KRISP-K019796/2021,Illumina Miseq,ARTIC_V3,KRISP-K019796,
SouthAfrica/KRISP-K019798/2021,Illumina Miseq,ARTIC_V3,KRISP-K019798,
SouthAfrica/KRISP-K019803/2021,Illumina Miseq,ARTIC_V3,KRISP-K019803,
SouthAfrica/KRISP-K019804/2021,Illumina Miseq,ARTIC_V3,KRISP-K019804,
SouthAfrica/KRISP-K019805/2021,Illumina Miseq,ARTIC_V3,KRISP-K019805,
SouthAfrica/KRISP-K019808/2021,Illumina Miseq,ARTIC_V3,KRISP-K019808,
SouthAfrica/KRISP-K019809/2021,Illumina Miseq,ARTIC_V3,KRISP-K019809,
SouthAfrica/KRISP-K019810/2021,Illumina Miseq,ARTIC_V3,KRISP-K019810,
SouthAfrica/KRISP-K019814/2021,Illumina Miseq,ARTIC_V3,KRISP-K019814,
SouthAfrica/KRISP-K019818/2021,Illumina Miseq,ARTIC_V3,KRISP-K019818,
SouthAfrica/KRISP-K019819/2021,Illumina Miseq,ARTIC_V3,KRISP-K019819,
SouthAfrica/KRISP-K019822/2021,Illumina Miseq,ARTIC_V3,KRISP-K019822,
SouthAfrica/KRISP-K019827/2021,Illumina Miseq,ARTIC_V3,KRISP-K019827,
SouthAfrica/KRISP-K019828/2021,Illumina Miseq,ARTIC_V3,KRISP-K019828,
SouthAfrica/KRISP-K019829/2021,Illumina Miseq,ARTIC_V3,KRISP-K019829,
SouthAfrica/KRISP-K019830/2021,Illumina Miseq,ARTIC_V3,KRISP-K019830,
SouthAfrica/KRISP-K019834/2021,Illumina Miseq,ARTIC_V3,KRISP-K019834,
SouthAfrica/KRISP-K019835/2021,Illumina Miseq,ARTIC_V3,KRISP-K019835,
SouthAfrica/KRISP-K019836/2021,Illumina Miseq,ARTIC_V3,KRISP-K019836,
SouthAfrica/KRISP-K019837/2021,Illumina Miseq,ARTIC_V3,KRISP-K019837,
SouthAfrica/KRISP-K019838/2021,Illumina Miseq,ARTIC_V3,KRISP-K019838,
SouthAfrica/KRISP-K019839/2021,Illumina Miseq,ARTIC_V3,KRISP-K019839,
SouthAfrica/KRISP-K019840/2021,Illumina Miseq,ARTIC_V3,KRISP-K019840,
SouthAfrica/KRISP-K019848/2021,Illumina Miseq,ARTIC_V3,KRISP-K019848,
SouthAfrica/KRISP-K019849/2021,Illumina Miseq,ARTIC_V3,KRISP-K019849,
SouthAfrica/KRISP-K019850/2021,Illumina Miseq,ARTIC_V3,KRISP-K019850,
SouthAfrica/KRISP-K019851/2021,Illumina Miseq,ARTIC_V3,KRISP-K019851,
SouthAfrica/KRISP-K019855/2021,Illumina Miseq,ARTIC_V3,KRISP-K019855,
SouthAfrica/KRISP-K019858/2021,Illumina Miseq,ARTIC_V3,KRISP-K019858,
SouthAfrica/KRISP-K019860/2021,Illumina Miseq,ARTIC_V3,KRISP-K019860,
SouthAfrica/KRISP-K019862/2021,Illumina Miseq,ARTIC_V3,KRISP-K019862,
SouthAfrica/KRISP-K019863/2021,Illumina Miseq,ARTIC_V3,KRISP-K019863,
SouthAfrica/KRISP-K019864/2021,Illumina Miseq,ARTIC_V3,KRISP-K019864,
SouthAfrica/KRISP-K019865/2021,Illumina Miseq,ARTIC_V3,KRISP-K019865,
SouthAfrica/KRISP-K019866/2021,Illumina Miseq,ARTIC_V3,KRISP-K019866,
SouthAfrica/KRISP-K019867/2021,Illumina Miseq,ARTIC_V3,KRISP-K019867,
SouthAfrica/KRISP-K019869/2021,Illumina Miseq,ARTIC_V3,KRISP-K019869,
SouthAfrica/KRISP-K019870/2021,Illumina Miseq,ARTIC_V3,KRISP-K019870,
SouthAfrica/KRISP-K019872/2021,Illumina Miseq,ARTIC_V3,KRISP-K019872,
SouthAfrica/KRISP-K019873/2021,Illumina Miseq,ARTIC_V3,KRISP-K019873,
SouthAfrica/KRISP-K019874/2021,Illumina Miseq,ARTIC_V3,KRISP-K019874,
SouthAfrica/KRISP-K019875/2021,Illumina Miseq,ARTIC_V3,KRISP-K019875,
SouthAfrica/KRISP-K019876/2021,Illumina Miseq,ARTIC_V3,KRISP-K019876,
SouthAfrica/KRISP-K019877/2021,Illumina Miseq,ARTIC_V3,KRISP-K019877,
SouthAfrica/KRISP-K019882/2021,Illumina Miseq,ARTIC_V3,KRISP-K019882,
SouthAfrica/KRISP-K019885/2021,Illumina Miseq,ARTIC_V3,KRISP-K019885,
SouthAfrica/KRISP-K019887/2021,Illumina Miseq,ARTIC_V3,KRISP-K019887,
SouthAfrica/KRISP-K019889/2021,Illumina Miseq,ARTIC_V3,KRISP-K019889,
SouthAfrica/KRISP-K019892/2021,Illumina Miseq,ARTIC_V3,KRISP-K019892,
SouthAfrica/KRISP-K019895/2021,Illumina Miseq,ARTIC_V3,KRISP-K019895,
SouthAfrica/KRISP-K019897/2021,Illumina Miseq,ARTIC_V3,KRISP-K019897,
SouthAfrica/KRISP-K019899/2021,Illumina Miseq,ARTIC_V3,KRISP-K019899,
SouthAfrica/KRISP-K019900/2021,Illumina Miseq,ARTIC_V3,KRISP-K019900,
SouthAfrica/KRISP-K019901/2021,Illumina Miseq,ARTIC_V3,KRISP-K019901,
SouthAfrica/KRISP-K019902/2021,Illumina Miseq,ARTIC_V3,KRISP-K019902,
SouthAfrica/KRISP-K019907/2021,Illumina Miseq,ARTIC_V3,KRISP-K019907,
SouthAfrica/KRISP-K019908/2021,Illumina Miseq,ARTIC_V3,KRISP-K019908,
SouthAfrica/KRISP-K019913/2021,Illumina Miseq,ARTIC_V3,KRISP-K019913,
SouthAfrica/KRISP-K019915/2021,Illumina Miseq,ARTIC_V3,KRISP-K019915,
SouthAfrica/KRISP-K019916/2021,Illumina Miseq,ARTIC_V3,KRISP-K019916,
SouthAfrica/KRISP-K019918/2021,Illumina Miseq,ARTIC_V3,KRISP-K019918,
SouthAfrica/KRISP-K019919/2021,Illumina Miseq,ARTIC_V3,KRISP-K019919,
SouthAfrica/KRISP-K019920/2021,Illumina Miseq,ARTIC_V3,KRISP-K019920,
SouthAfrica/KRISP-K019921/2021,Illumina Miseq,ARTIC_V3,KRISP-K019921,
SouthAfrica/KRISP-K019922/2021,Illumina Miseq,ARTIC_V3,KRISP-K019922,
SouthAfrica/KRISP-K019923/2021,Illumina Miseq,ARTIC_V3,KRISP-K019923,
SouthAfrica/KRISP-K019926/2021,Illumina Miseq,ARTIC_V3,KRISP-K019926,
SouthAfrica/KRISP-K019929/2021,Illumina Miseq,ARTIC_V3,KRISP-K019929,
SouthAfrica/KRISP-K019931/2021,Illumina Miseq,ARTIC_V3,KRISP-K019931,
SouthAfrica/KRISP-K019933/2021,Illumina Miseq,ARTIC_V3,KRISP-K019933,
SouthAfrica/KRISP-K019936/2021,Illumina Miseq,ARTIC_V3,KRISP-K019936,
SouthAfrica/KRISP-K019937/2021,Illumina Miseq,ARTIC_V3,KRISP-K019937,
SouthAfrica/KRISP-K019938/2021,Illumina Miseq,ARTIC_V3,KRISP-K019938,
SouthAfrica/KRISP-K019940/2021,Illumina Miseq,ARTIC_V3,KRISP-K019940,
SouthAfrica/KRISP-K019946/2021,Illumina Miseq,ARTIC_V3,KRISP-K019946,
SouthAfrica/KRISP-K019949/2021,Illumina Miseq,ARTIC_V3,KRISP-K019949,
SouthAfrica/KRISP-K019950/2021,Illumina Miseq,ARTIC_V3,KRISP-K019950,
SouthAfrica/KRISP-K019954/2021,Illumina Miseq,ARTIC_V3,KRISP-K019954,
SouthAfrica/KRISP-K019955/2021,Illumina Miseq,ARTIC_V3,KRISP-K019955,
SouthAfrica/KRISP-K020015/2021,Illumina Miseq,ARTIC_V3,KRISP-K020015,
SouthAfrica/KRISP-K020017/2021,Illumina Miseq,ARTIC_V3,KRISP-K020017,
SouthAfrica/KRISP-K020018/2021,Illumina Miseq,ARTIC_V3,KRISP-K020018,
SouthAfrica/KRISP-K020020/2021,Illumina Miseq,ARTIC_V3,KRISP-K020020,
SouthAfrica/KRISP-K020021/2021,Illumina Miseq,ARTIC_V3,KRISP-K020021,
SouthAfrica/KRISP-K020022/2021,Illumina Miseq,ARTIC_V3,KRISP-K020022,
SouthAfrica/KRISP-K020023/2021,Illumina Miseq,ARTIC_V3,KRISP-K020023,
SouthAfrica/KRISP-K020027/2021,Illumina Miseq,ARTIC_V3,KRISP-K020027,
SouthAfrica/KRISP-K020030/2021,Illumina Miseq,ARTIC_V3,KRISP-K020030,
SouthAfrica/KRISP-K020031/2021,Illumina Miseq,ARTIC_V3,KRISP-K020031,
SouthAfrica/KRISP-K020034/2021,Illumina Miseq,ARTIC_V3,KRISP-K020034,
SouthAfrica/KRISP-K020035/2021,Illumina Miseq,ARTIC_V3,KRISP-K020035,
SouthAfrica/KRISP-K020036/2021,Illumina Miseq,ARTIC_V3,KRISP-K020036,
SouthAfrica/KRISP-K020039/2021,Illumina Miseq,ARTIC_V3,KRISP-K020039,
SouthAfrica/KRISP-K020040/2021,Illumina Miseq,ARTIC_V3,KRISP-K020040,
SouthAfrica/KRISP-K020044/2021,Illumina Miseq,ARTIC_V3,KRISP-K020044,
SouthAfrica/KRISP-K020047/2021,Illumina Miseq,ARTIC_V3,KRISP-K020047,
SouthAfrica/KRISP-K020048/2021,Illumina Miseq,ARTIC_V3,KRISP-K020048,
SouthAfrica/KRISP-K020049/2021,Illumina Miseq,ARTIC_V3,KRISP-K020049,
SouthAfrica/KRISP-K020050/2021,Illumina Miseq,ARTIC_V3,KRISP-K020050,
SouthAfrica/KRISP-K020051/2021,Illumina Miseq,ARTIC_V3,KRISP-K020051,
SouthAfrica/KRISP-K020052/2021,Illumina Miseq,ARTIC_V3,KRISP-K020052,
SouthAfrica/KRISP-K020055/2021,Illumina Miseq,ARTIC_V3,KRISP-K020055,
SouthAfrica/KRISP-K020056/2021,Illumina Miseq,ARTIC_V3,KRISP-K020056,
SouthAfrica/KRISP-K020057/2021,Illumina Miseq,ARTIC_V3,KRISP-K020057,
SouthAfrica/KRISP-K020058/2021,Illumina Miseq,ARTIC_V3,KRISP-K020058,
SouthAfrica/KRISP-K020059/2021,Illumina Miseq,ARTIC_V3,KRISP-K020059,
SouthAfrica/KRISP-K020060/2021,Illumina Miseq,ARTIC_V3,KRISP-K020060,
SouthAfrica/KRISP-K020067/2021,Illumina Miseq,ARTIC_V3,KRISP-K020067,
SouthAfrica/KRISP-K020068/2021,Illumina Miseq,ARTIC_V3,KRISP-K020068,
SouthAfrica/KRISP-K020070/2021,Illumina Miseq,ARTIC_V3,KRISP-K020070,
SouthAfrica/KRISP-K020071/2021,Illumina Miseq,ARTIC_V3,KRISP-K020071,
SouthAfrica/KRISP-K020072/2021,Illumina Miseq,ARTIC_V3,KRISP-K020072,
SouthAfrica/KRISP-K020073/2021,Illumina Miseq,ARTIC_V3,KRISP-K020073,
SouthAfrica/KRISP-K020074/2021,Illumina Miseq,ARTIC_V3,KRISP-K020074,
SouthAfrica/KRISP-K020075/2021,Illumina Miseq,ARTIC_V3,KRISP-K020075,
SouthAfrica/KRISP-K020078/2021,Illumina Miseq,ARTIC_V3,KRISP-K020078,
SouthAfrica/KRISP-K020079/2021,Illumina Miseq,ARTIC_V3,KRISP-K020079,
SouthAfrica/KRISP-K020080/2021,Illumina Miseq,ARTIC_V3,KRISP-K020080,
SouthAfrica/KRISP-K020081/2021,Illumina Miseq,ARTIC_V3,KRISP-K020081,
SouthAfrica/KRISP-K020082/2021,Illumina Miseq,ARTIC_V3,KRISP-K020082,
SouthAfrica/KRISP-K020083/2021,Illumina Miseq,ARTIC_V3,KRISP-K020083,
SouthAfrica/KRISP-K020084/2021,Illumina Miseq,ARTIC_V3,KRISP-K020084,
SouthAfrica/KRISP-K020085/2021,Illumina Miseq,ARTIC_V3,KRISP-K020085,
SouthAfrica/KRISP-K020086/2021,Illumina Miseq,ARTIC_V3,KRISP-K020086,
SouthAfrica/KRISP-K020090/2021,Illumina Miseq,ARTIC_V3,KRISP-K020090,
SouthAfrica/KRISP-K020091/2021,Illumina Miseq,ARTIC_V3,KRISP-K020091,
SouthAfrica/KRISP-K020093/2021,Illumina Miseq,ARTIC_V3,KRISP-K020093,
SouthAfrica/KRISP-K020094/2021,Illumina Miseq,ARTIC_V3,KRISP-K020094,
SouthAfrica/KRISP-K020095/2021,Illumina Miseq,ARTIC_V3,KRISP-K020095,
SouthAfrica/KRISP-K020179/2021,Illumina Miseq,ARTIC_V3,KRISP-K020179,
SouthAfrica/KRISP-K020184/2021,Illumina Miseq,ARTIC_V3,KRISP-K020184,
SouthAfrica/KRISP-K020186/2021,Illumina Miseq,ARTIC_V3,KRISP-K020186,
SouthAfrica/KRISP-K020187/2021,Illumina Miseq,ARTIC_V3,KRISP-K020187,
SouthAfrica/KRISP-K020212/2021,Illumina Miseq,ARTIC_V3,KRISP-K020212,
SouthAfrica/KRISP-K020213/2021,Illumina Miseq,ARTIC_V3,KRISP-K020213,
SouthAfrica/KRISP-K020214/2021,Illumina Miseq,ARTIC_V3,KRISP-K020214,
SouthAfrica/KRISP-K020215/2021,Illumina Miseq,ARTIC_V3,KRISP-K020215,
SouthAfrica/KRISP-K020216/2021,Illumina Miseq,ARTIC_V3,KRISP-K020216,
SouthAfrica/KRISP-K020217/2021,Illumina Miseq,ARTIC_V3,KRISP-K020217,
SouthAfrica/KRISP-K020218/2021,Illumina Miseq,ARTIC_V3,KRISP-K020218,
SouthAfrica/KRISP-K020221/2021,Illumina Miseq,ARTIC_V3,KRISP-K020221,
SouthAfrica/KRISP-K020222/2021,Illumina Miseq,ARTIC_V3,KRISP-K020222,
SouthAfrica/KRISP-K020224/2021,Illumina Miseq,ARTIC_V3,KRISP-K020224,
SouthAfrica/KRISP-K020225/2021,Illumina Miseq,ARTIC_V3,KRISP-K020225,
SouthAfrica/KRISP-K020226/2021,Illumina Miseq,ARTIC_V3,KRISP-K020226,
SouthAfrica/KRISP-K020227/2021,Illumina Miseq,ARTIC_V3,KRISP-K020227,
SouthAfrica/KRISP-K020228/2021,Illumina Miseq,ARTIC_V3,KRISP-K020228,
SouthAfrica/KRISP-K020229/2021,Illumina Miseq,ARTIC_V3,KRISP-K020229,
SouthAfrica/KRISP-K020230/2021,Illumina Miseq,ARTIC_V3,KRISP-K020230,
SouthAfrica/KRISP-K020233/2021,Illumina Miseq,ARTIC_V3,KRISP-K020233,
SouthAfrica/KRISP-K020234/2021,Illumina Miseq,ARTIC_V3,KRISP-K020234,
SouthAfrica/KRISP-K020235/2021,Illumina Miseq,ARTIC_V3,KRISP-K020235,
SouthAfrica/KRISP-K020236/2021,Illumina Miseq,ARTIC_V3,KRISP-K020236,
SouthAfrica/KRISP-K020237/2021,Illumina Miseq,ARTIC_V3,KRISP-K020237,
SouthAfrica/KRISP-K020239/2021,Illumina Miseq,ARTIC_V3,KRISP-K020239,
SouthAfrica/KRISP-K020240/2021,Illumina Miseq,ARTIC_V3,KRISP-K020240,
SouthAfrica/KRISP-K020241/2021,Illumina Miseq,ARTIC_V3,KRISP-K020241,
SouthAfrica/KRISP-K020242/2021,Illumina Miseq,ARTIC_V3,KRISP-K020242,
SouthAfrica/KRISP-K020243/2021,Illumina Miseq,ARTIC_V3,KRISP-K020243,
SouthAfrica/KRISP-K020245/2021,Illumina Miseq,ARTIC_V3,KRISP-K020245,
SouthAfrica/KRISP-K020248/2021,Illumina Miseq,ARTIC_V3,KRISP-K020248,
SouthAfrica/KRISP-K020249/2021,Illumina Miseq,ARTIC_V3,KRISP-K020249,
SouthAfrica/KRISP-K020250/2021,Illumina Miseq,ARTIC_V3,KRISP-K020250,
SouthAfrica/KRISP-K020251/2021,Illumina Miseq,ARTIC_V3,KRISP-K020251,
SouthAfrica/KRISP-K020252/2021,Illumina Miseq,ARTIC_V3,KRISP-K020252,
SouthAfrica/KRISP-K020253/2021,Illumina Miseq,ARTIC_V3,KRISP-K020253,
SouthAfrica/KRISP-K020254/2021,Illumina Miseq,ARTIC_V3,KRISP-K020254,
SouthAfrica/KRISP-K020257/2021,Illumina Miseq,ARTIC_V3,KRISP-K020257,
SouthAfrica/KRISP-K020259/2021,Illumina Miseq,ARTIC_V3,KRISP-K020259,
SouthAfrica/KRISP-K020260/2021,Illumina Miseq,ARTIC_V3,KRISP-K020260,
SouthAfrica/KRISP-K020261/2021,Illumina Miseq,ARTIC_V3,KRISP-K020261,
SouthAfrica/KRISP-K020262/2021,Illumina Miseq,ARTIC_V3,KRISP-K020262,
SouthAfrica/KRISP-K020263/2021,Illumina Miseq,ARTIC_V3,KRISP-K020263,
SouthAfrica/KRISP-K020265/2021,Illumina Miseq,ARTIC_V3,KRISP-K020265,
SouthAfrica/KRISP-K020266/2021,Illumina Miseq,ARTIC_V3,KRISP-K020266,
SouthAfrica/KRISP-K020268/2021,Illumina Miseq,ARTIC_V3,KRISP-K020268,
SouthAfrica/KRISP-K020270/2021,Illumina Miseq,ARTIC_V3,KRISP-K020270,
SouthAfrica/KRISP-K020271/2021,Illumina Miseq,ARTIC_V3,KRISP-K020271,
SouthAfrica/KRISP-K020273/2021,Illumina Miseq,ARTIC_V3,KRISP-K020273,
SouthAfrica/KRISP-K020274/2021,Illumina Miseq,ARTIC_V3,KRISP-K020274,
SouthAfrica/KRISP-K020275/2021,Illumina Miseq,ARTIC_V3,KRISP-K020275,
SouthAfrica/KRISP-K020276/2021,Illumina Miseq,ARTIC_V3,KRISP-K020276,
SouthAfrica/KRISP-K020277/2021,Illumina Miseq,ARTIC_V3,KRISP-K020277,
SouthAfrica/KRISP-K020281/2021,Illumina Miseq,ARTIC_V3,KRISP-K020281,
SouthAfrica/KRISP-K020283/2021,Illumina Miseq,ARTIC_V3,KRISP-K020283,
SouthAfrica/KRISP-K020284/2021,Illumina Miseq,ARTIC_V3,KRISP-K020284,
SouthAfrica/KRISP-K020285/2021,Illumina Miseq,ARTIC_V3,KRISP-K020285,
SouthAfrica/KRISP-K020286/2021,Illumina Miseq,ARTIC_V3,KRISP-K020286,
SouthAfrica/KRISP-K020287/2021,Illumina Miseq,ARTIC_V3,KRISP-K020287,
SouthAfrica/KRISP-K020288/2021,Illumina Miseq,ARTIC_V3,KRISP-K020288,
SouthAfrica/KRISP-K020289/2021,Illumina Miseq,ARTIC_V3,KRISP-K020289,
SouthAfrica/KRISP-K020290/2021,Illumina Miseq,ARTIC_V3,KRISP-K020290,
SouthAfrica/KRISP-K020291/2021,Illumina Miseq,ARTIC_V3,KRISP-K020291,
SouthAfrica/KRISP-K020293/2021,Illumina Miseq,ARTIC_V3,KRISP-K020293,
SouthAfrica/KRISP-K020294/2021,Illumina Miseq,ARTIC_V3,KRISP-K020294,
SouthAfrica/KRISP-K020296/2021,Illumina Miseq,ARTIC_V3,KRISP-K020296,
SouthAfrica/KRISP-K020297/2021,Illumina Miseq,ARTIC_V3,KRISP-K020297,
SouthAfrica/KRISP-K020298/2021,Illumina Miseq,ARTIC_V3,KRISP-K020298,
SouthAfrica/KRISP-K020299/2021,Illumina Miseq,ARTIC_V3,KRISP-K020299,
SouthAfrica/KRISP-K020301/2021,Illumina Miseq,ARTIC_V3,KRISP-K020301,
SouthAfrica/KRISP-K020305/2021,Illumina Miseq,ARTIC_V3,KRISP-K020305,
SouthAfrica/KRISP-K020306/2021,Illumina Miseq,ARTIC_V3,KRISP-K020306,
SouthAfrica/KRISP-K020307/2021,Illumina Miseq,ARTIC_V3,KRISP-K020307,
SouthAfrica/KRISP-K020308/2021,Illumina Miseq,ARTIC_V3,KRISP-K020308,
SouthAfrica/KRISP-K020309/2021,Illumina Miseq,ARTIC_V3,KRISP-K020309,
SouthAfrica/KRISP-K020310/2021,Illumina Miseq,ARTIC_V3,KRISP-K020310,
SouthAfrica/KRISP-K020311/2021,Illumina Miseq,ARTIC_V3,KRISP-K020311,
SouthAfrica/KRISP-K020312/2021,Illumina Miseq,ARTIC_V3,KRISP-K020312,
SouthAfrica/KRISP-K020313/2021,Illumina Miseq,ARTIC_V3,KRISP-K020313,
SouthAfrica/KRISP-K020316/2021,Illumina Miseq,ARTIC_V3,KRISP-K020316,
SouthAfrica/KRISP-K020317/2021,Illumina Miseq,ARTIC_V3,KRISP-K020317,
SouthAfrica/KRISP-K020318/2021,Illumina Miseq,ARTIC_V3,KRISP-K020318,
SouthAfrica/KRISP-K020319/2021,Illumina Miseq,ARTIC_V3,KRISP-K020319,
SouthAfrica/KRISP-K020320/2021,Illumina Miseq,ARTIC_V3,KRISP-K020320,
SouthAfrica/KRISP-K020321/2021,Illumina Miseq,ARTIC_V3,KRISP-K020321,
SouthAfrica/KRISP-K020322/2021,Illumina Miseq,ARTIC_V3,KRISP-K020322,
SouthAfrica/KRISP-K020323/2021,Illumina Miseq,ARTIC_V3,KRISP-K020323,
SouthAfrica/KRISP-K020324/2021,Illumina Miseq,ARTIC_V3,KRISP-K020324,
SouthAfrica/KRISP-K020325/2021,Illumina Miseq,ARTIC_V3,KRISP-K020325,
SouthAfrica/KRISP-K020326/2021,Illumina Miseq,ARTIC_V3,KRISP-K020326,
SouthAfrica/KRISP-K020331/2021,Illumina Miseq,ARTIC_V3,KRISP-K020331,
SouthAfrica/KRISP-K020332/2021,Illumina Miseq,ARTIC_V3,KRISP-K020332,
SouthAfrica/KRISP-K020333/2021,Illumina Miseq,ARTIC_V3,KRISP-K020333,
SouthAfrica/KRISP-K020334/2021,Illumina Miseq,ARTIC_V3,KRISP-K020334,
SouthAfrica/KRISP-K020335/2021,Illumina Miseq,ARTIC_V3,KRISP-K020335,
SouthAfrica/KRISP-K020336/2021,Illumina Miseq,ARTIC_V3,KRISP-K020336,
SouthAfrica/KRISP-K020337/2021,Illumina Miseq,ARTIC_V3,KRISP-K020337,
SouthAfrica/KRISP-K020338/2021,Illumina Miseq,ARTIC_V3,KRISP-K020338,
SouthAfrica/KRISP-K020339/2021,Illumina Miseq,ARTIC_V3,KRISP-K020339,
SouthAfrica/KRISP-K020340/2021,Illumina Miseq,ARTIC_V3,KRISP-K020340,
SouthAfrica/KRISP-K020341/2021,Illumina Miseq,ARTIC_V3,KRISP-K020341,
SouthAfrica/KRISP-K020342/2021,Illumina Miseq,ARTIC_V3,KRISP-K020342,
SouthAfrica/KRISP-K020344/2021,Illumina Miseq,ARTIC_V3,KRISP-K020344,
SouthAfrica/KRISP-K020345/2021,Illumina Miseq,ARTIC_V3,KRISP-K020345,
SouthAfrica/KRISP-K020346/2021,Illumina Miseq,ARTIC_V3,KRISP-K020346,
SouthAfrica/KRISP-K020347/2021,Illumina Miseq,ARTIC_V3,KRISP-K020347,
SouthAfrica/KRISP-K020348/2021,Illumina Miseq,ARTIC_V3,KRISP-K020348,
SouthAfrica/KRISP-K020349/2021,Illumina Miseq,ARTIC_V3,KRISP-K020349,
SouthAfrica/KRISP-K020351/2021,Illumina Miseq,ARTIC_V3,KRISP-K020351,
SouthAfrica/KRISP-K020356/2021,Illumina Miseq,ARTIC_V3,KRISP-K020356,
SouthAfrica/KRISP-K020357/2021,Illumina Miseq,ARTIC_V3,KRISP-K020357,
SouthAfrica/KRISP-K020358/2021,Illumina Miseq,ARTIC_V3,KRISP-K020358,
SouthAfrica/KRISP-K020359/2021,Illumina Miseq,ARTIC_V3,KRISP-K020359,
SouthAfrica/KRISP-K020361/2021,Illumina Miseq,ARTIC_V3,KRISP-K020361,
SouthAfrica/KRISP-K020364/2021,Illumina Miseq,ARTIC_V3,KRISP-K020364,
SouthAfrica/KRISP-K020366/2021,Illumina Miseq,ARTIC_V3,KRISP-K020366,
SouthAfrica/KRISP-K020367/2021,Illumina Miseq,ARTIC_V3,KRISP-K020367,
SouthAfrica/KRISP-K020368/2021,Illumina Miseq,ARTIC_V3,KRISP-K020368,
SouthAfrica/KRISP-K020370/2021,Illumina Miseq,ARTIC_V3,KRISP-K020370,
SouthAfrica/KRISP-K020371/2021,Illumina Miseq,ARTIC_V3,KRISP-K020371,
SouthAfrica/KRISP-K020372/2021,Illumina Miseq,ARTIC_V3,KRISP-K020372,
SouthAfrica/KRISP-K020373/2021,Illumina Miseq,ARTIC_V3,KRISP-K020373,
SouthAfrica/KRISP-K020375/2021,Illumina Miseq,ARTIC_V3,KRISP-K020375,
SouthAfrica/KRISP-K020376/2021,Illumina Miseq,ARTIC_V3,KRISP-K020376,
SouthAfrica/KRISP-K020377/2021,Illumina Miseq,ARTIC_V3,KRISP-K020377,
SouthAfrica/KRISP-K020378/2021,Illumina Miseq,ARTIC_V3,KRISP-K020378,
SouthAfrica/KRISP-K020379/2021,Illumina Miseq,ARTIC_V3,KRISP-K020379,
SouthAfrica/KRISP-K020380/2021,Illumina Miseq,ARTIC_V3,KRISP-K020380,
SouthAfrica/KRISP-K020381/2021,Illumina Miseq,ARTIC_V3,KRISP-K020381,
SouthAfrica/KRISP-K020382/2021,Illumina Miseq,ARTIC_V3,KRISP-K020382,
SouthAfrica/KRISP-K020383/2021,Illumina Miseq,ARTIC_V3,KRISP-K020383,
SouthAfrica/KRISP-K020384/2021,Illumina Miseq,ARTIC_V3,KRISP-K020384,
SouthAfrica/KRISP-K020385/2021,Illumina Miseq,ARTIC_V3,KRISP-K020385,
SouthAfrica/KRISP-K020386/2021,Illumina Miseq,ARTIC_V3,KRISP-K020386,
SouthAfrica/KRISP-K020387/2021,Illumina Miseq,ARTIC_V3,KRISP-K020387,
SouthAfrica/KRISP-K020389/2021,Illumina Miseq,ARTIC_V3,KRISP-K020389,
SouthAfrica/KRISP-K020390/2021,Illumina Miseq,ARTIC_V3,KRISP-K020390,
SouthAfrica/KRISP-K020391/2021,Illumina Miseq,ARTIC_V3,KRISP-K020391,
SouthAfrica/KRISP-K020392/2021,Illumina Miseq,ARTIC_V3,KRISP-K020392,
SouthAfrica/KRISP-K020482/2021,Illumina Miseq,ARTIC_V3,KRISP-K020482,
SouthAfrica/KRISP-K020484/2021,Illumina Miseq,ARTIC_V3,KRISP-K020484,
SouthAfrica/KRISP-K020485/2021,Illumina Miseq,ARTIC_V3,KRISP-K020485,
SouthAfrica/KRISP-K020487/2021,Illumina Miseq,ARTIC_V3,KRISP-K020487,
SouthAfrica/KRISP-K020488/2021,Illumina Miseq,ARTIC_V3,KRISP-K020488,
SouthAfrica/KRISP-K020489/2021,Illumina Miseq,ARTIC_V3,KRISP-K020489,
SouthAfrica/KRISP-K020490/2021,Illumina Miseq,ARTIC_V3,KRISP-K020490,
SouthAfrica/KRISP-K020491/2021,Illumina Miseq,ARTIC_V3,KRISP-K020491,
SouthAfrica/KRISP-K020492/2021,Illumina Miseq,ARTIC_V3,KRISP-K020492,
