strain,Sequencing_technology,Primers_used,simple_strain,Primers
SouthAfrica/KRISP-0266/2020,Illumina Miseq,ARTIC_V2,KRISP-0266,
SouthAfrica/KRISP-0267/2020,Illumina Miseq,ARTIC_V2,KRISP-0267,
SouthAfrica/KRISP-0268/2020,Illumina Miseq,ARTIC_V2,KRISP-0268,
SouthAfrica/KRISP-0269/2020,Illumina Miseq,ARTIC_V2,KRISP-0269,
SouthAfrica/KRISP-0270/2020,Illumina Miseq,ARTIC_V2,KRISP-0270,
SouthAfrica/KRISP-0271/2020,Illumina Miseq,ARTIC_V2,KRISP-0271,
SouthAfrica/KRISP-0272/2020,Illumina Miseq,ARTIC_V2,KRISP-0272,
SouthAfrica/KRISP-0273/2020,Illumina Miseq,ARTIC_V2,KRISP-0273,
SouthAfrica/KRISP-0274/2020,Illumina Miseq,ARTIC_V2,KRISP-0274,
SouthAfrica/KRISP-0275/2020,Illumina Miseq,ARTIC_V2,KRISP-0275,
SouthAfrica/KRISP-0276/2020,Illumina Miseq,ARTIC_V2,KRISP-0276,
SouthAfrica/KRISP-0277/2020,Illumina Miseq,ARTIC_V2,KRISP-0277,
SouthAfrica/KRISP-0278/2020,Illumina Miseq,ARTIC_V2,KRISP-0278,
SouthAfrica/KRISP-0279/2020,Illumina Miseq,ARTIC_V2,KRISP-0279,
SouthAfrica/KRISP-0280/2020,Illumina Miseq,ARTIC_V2,KRISP-0280,
SouthAfrica/KRISP-0281/2020,Illumina Miseq,ARTIC_V2,KRISP-0281,
SouthAfrica/KRISP-0282/2020,Illumina Miseq,ARTIC_V2,KRISP-0282,
SouthAfrica/KRISP-0283/2020,Illumina Miseq,ARTIC_V2,KRISP-0283,
SouthAfrica/KRISP-0284/2020,Illumina Miseq,ARTIC_V2,KRISP-0284,
SouthAfrica/KRISP-0285/2020,Illumina Miseq,ARTIC_V2,KRISP-0285,
SouthAfrica/KRISP-0286/2020,Illumina Miseq,ARTIC_V2,KRISP-0286,
SouthAfrica/KRISP-0287/2020,Illumina Miseq,ARTIC_V2,KRISP-0287,
SouthAfrica/KRISP-0288/2020,Illumina Miseq,ARTIC_V2,KRISP-0288,
SouthAfrica/KRISP-0290/2020,Illumina Miseq,ARTIC_V2,KRISP-0290,
SouthAfrica/KRISP-0291/2020,Illumina Miseq,ARTIC_V2,KRISP-0291,
SouthAfrica/KRISP-0293/2020,Illumina Miseq,ARTIC_V2,KRISP-0293,
SouthAfrica/KRISP-0294/2020,Illumina Miseq,ARTIC_V2,KRISP-0294,
SouthAfrica/KRISP-0295/2020,Illumina Miseq,ARTIC_V2,KRISP-0295,
SouthAfrica/KRISP-0296/2020,Illumina Miseq,ARTIC_V2,KRISP-0296,
SouthAfrica/KRISP-0297/2020,Illumina Miseq,ARTIC_V2,KRISP-0297,
SouthAfrica/KRISP-0298/2020,Illumina Miseq,ARTIC_V2,KRISP-0298,
SouthAfrica/KRISP-0299/2020,Illumina Miseq,ARTIC_V2,KRISP-0299,
SouthAfrica/KRISP-0300/2020,Illumina Miseq,ARTIC_V2,KRISP-0300,
SouthAfrica/KRISP-0302/2020,Illumina Miseq,ARTIC_V2,KRISP-0302,
SouthAfrica/KRISP-0303/2020,Illumina Miseq,ARTIC_V2,KRISP-0303,
SouthAfrica/KRISP-0304/2020,Illumina Miseq,ARTIC_V2,KRISP-0304,
SouthAfrica/KRISP-0305/2020,Illumina Miseq,ARTIC_V2,KRISP-0305,
SouthAfrica/KRISP-0308/2020,Illumina Miseq,ARTIC_V2,KRISP-0308,
SouthAfrica/KRISP-0309/2020,Illumina Miseq,ARTIC_V2,KRISP-0309,
SouthAfrica/KRISP-0310/2020,Illumina Miseq,ARTIC_V2,KRISP-0310,
SouthAfrica/KRISP-0312/2020,Illumina Miseq,ARTIC_V2,KRISP-0312,
SouthAfrica/KRISP-0316/2020,Illumina Miseq,ARTIC_V2,KRISP-0316,
SouthAfrica/KRISP-0318/2020,Illumina Miseq,ARTIC_V2,KRISP-0318,
SouthAfrica/KRISP-0321/2020,Illumina Miseq,ARTIC_V2,KRISP-0321,
SouthAfrica/KRISP-0322/2020,Illumina Miseq,ARTIC_V2,KRISP-0322,
SouthAfrica/KRISP-0323/2020,Illumina Miseq,ARTIC_V2,KRISP-0323,
SouthAfrica/KRISP-0327/2020,Illumina Miseq,ARTIC_V2,KRISP-0327,
SouthAfrica/KRISP-0331/2020,Illumina Miseq,ARTIC_V2,KRISP-0331,
SouthAfrica/KRISP-0332/2020,Illumina Miseq,ARTIC_V2,KRISP-0332,
SouthAfrica/KRISP-0336/2020,Illumina Miseq,ARTIC_V2,KRISP-0336,
SouthAfrica/KRISP-0337/2020,Illumina Miseq,ARTIC_V2,KRISP-0337,
SouthAfrica/KRISP-0338/2020,Illumina Miseq,ARTIC_V2,KRISP-0338,
SouthAfrica/KRISP-0339/2020,Illumina Miseq,ARTIC_V2,KRISP-0339,
SouthAfrica/KRISP-0340/2020,Illumina Miseq,ARTIC_V2,KRISP-0340,
SouthAfrica/KRISP-0342/2020,Illumina Miseq,ARTIC_V2,KRISP-0342,
SouthAfrica/KRISP-0343/2020,Illumina Miseq,ARTIC_V2,KRISP-0343,
SouthAfrica/KRISP-0344/2020,Illumina Miseq,ARTIC_V2,KRISP-0344,
SouthAfrica/KRISP-0346/2020,Illumina Miseq,ARTIC_V2,KRISP-0346,
SouthAfrica/KRISP-0347/2020,Illumina Miseq,ARTIC_V2,KRISP-0347,
SouthAfrica/KRISP-0348/2020,Illumina Miseq,ARTIC_V2,KRISP-0348,
SouthAfrica/KRISP-0349/2020,Illumina Miseq,ARTIC_V2,KRISP-0349,
SouthAfrica/KRISP-0350/2020,Illumina Miseq,ARTIC_V2,KRISP-0350,
SouthAfrica/KRISP-0352/2020,Illumina Miseq,ARTIC_V2,KRISP-0352,
SouthAfrica/KRISP-0356/2020,Illumina Miseq,ARTIC_V2,KRISP-0356,
SouthAfrica/KRISP-0360/2020,Illumina Miseq,ARTIC_V2,KRISP-0360,
SouthAfrica/KRISP-0361/2020,Illumina Miseq,ARTIC_V2,KRISP-0361,
SouthAfrica/KRISP-0365/2020,Illumina Miseq,ARTIC_V2,KRISP-0365,
SouthAfrica/KRISP-0366/2020,Illumina Miseq,ARTIC_V2,KRISP-0366,
SouthAfrica/KRISP-0367/2020,Illumina Miseq,ARTIC_V2,KRISP-0367,
SouthAfrica/KRISP-0368/2020,Illumina Miseq,ARTIC_V2,KRISP-0368,
SouthAfrica/KRISP-0369/2020,Illumina Miseq,ARTIC_V2,KRISP-0369,
SouthAfrica/KRISP-0370/2020,Illumina Miseq,ARTIC_V2,KRISP-0370,
SouthAfrica/KRISP-0371/2020,Illumina Miseq,ARTIC_V2,KRISP-0371,
SouthAfrica/KRISP-0372/2020,Illumina Miseq,ARTIC_V2,KRISP-0372,
SouthAfrica/KRISP-0373/2020,Illumina Miseq,ARTIC_V2,KRISP-0373,
SouthAfrica/KRISP-0375/2020,Illumina Miseq,ARTIC_V2,KRISP-0375,
SouthAfrica/KRISP-0376/2020,Illumina Miseq,ARTIC_V2,KRISP-0376,
SouthAfrica/KRISP-0377/2020,Illumina Miseq,ARTIC_V2,KRISP-0377,
SouthAfrica/KRISP-0378/2020,Illumina Miseq,ARTIC_V2,KRISP-0378,
SouthAfrica/KRISP-0380/2020,Illumina Miseq,ARTIC_V2,KRISP-0380,
SouthAfrica/KRISP-0382/2020,Illumina Miseq,ARTIC_V2,KRISP-0382,
SouthAfrica/KRISP-0383/2020,Illumina Miseq,ARTIC_V2,KRISP-0383,
SouthAfrica/KRISP-0384/2020,Illumina Miseq,ARTIC_V2,KRISP-0384,
SouthAfrica/KRISP-0385/2020,Illumina Miseq,ARTIC_V2,KRISP-0385,
SouthAfrica/KRISP-0386/2020,Illumina Miseq,ARTIC_V2,KRISP-0386,
SouthAfrica/KRISP-0387/2020,Illumina Miseq,ARTIC_V2,KRISP-0387,
SouthAfrica/KRISP-0388/2020,Illumina Miseq,ARTIC_V2,KRISP-0388,
SouthAfrica/KRISP-0389/2020,Illumina Miseq,ARTIC_V2,KRISP-0389,
SouthAfrica/KRISP-0390/2020,Illumina Miseq,ARTIC_V2,KRISP-0390,
SouthAfrica/KRISP-0391/2020,Illumina Miseq,ARTIC_V2,KRISP-0391,
SouthAfrica/KRISP-0392/2020,Illumina Miseq,ARTIC_V2,KRISP-0392,
SouthAfrica/KRISP-0393/2020,Illumina Miseq,ARTIC_V2,KRISP-0393,
SouthAfrica/KRISP-0394/2020,Illumina Miseq,ARTIC_V2,KRISP-0394,
SouthAfrica/KRISP-0395/2020,Illumina Miseq,ARTIC_V2,KRISP-0395,
SouthAfrica/KRISP-0396/2020,Illumina Miseq,ARTIC_V2,KRISP-0396,
SouthAfrica/KRISP-0397/2020,Illumina Miseq,ARTIC_V2,KRISP-0397,
SouthAfrica/KRISP-0398/2020,Illumina Miseq,ARTIC_V2,KRISP-0398,
SouthAfrica/KRISP-04/2020,Illumina Miseq,ARTIC_V2,KRISP-04,
SouthAfrica/KRISP-0402/2020,Illumina Miseq,ARTIC_V2,KRISP-0402,
SouthAfrica/KRISP-0403/2020,Illumina Miseq,ARTIC_V2,KRISP-0403,
SouthAfrica/KRISP-0404/2020,Illumina Miseq,ARTIC_V2,KRISP-0404,
SouthAfrica/KRISP-0405/2020,Illumina Miseq,ARTIC_V2,KRISP-0405,
SouthAfrica/KRISP-0406/2020,Illumina Miseq,ARTIC_V2,KRISP-0406,
SouthAfrica/KRISP-0407/2020,Illumina Miseq,ARTIC_V2,KRISP-0407,
SouthAfrica/KRISP-0408/2020,Illumina Miseq,ARTIC_V2,KRISP-0408,
SouthAfrica/KRISP-0409/2020,Illumina Miseq,ARTIC_V2,KRISP-0409,
SouthAfrica/KRISP-0410/2020,Illumina Miseq,ARTIC_V2,KRISP-0410,
SouthAfrica/KRISP-0411/2020,Illumina Miseq,ARTIC_V2,KRISP-0411,
SouthAfrica/KRISP-0412/2020,Illumina Miseq,ARTIC_V2,KRISP-0412,
SouthAfrica/KRISP-0413/2020,Illumina Miseq,ARTIC_V2,KRISP-0413,
SouthAfrica/KRISP-0414/2020,Illumina Miseq,ARTIC_V2,KRISP-0414,
SouthAfrica/KRISP-0415/2020,Illumina Miseq,ARTIC_V2,KRISP-0415,
SouthAfrica/KRISP-0417/2020,Illumina Miseq,ARTIC_V2,KRISP-0417,
SouthAfrica/KRISP-0418/2020,Illumina Miseq,ARTIC_V2,KRISP-0418,
SouthAfrica/KRISP-0420/2020,Illumina Miseq,ARTIC_V2,KRISP-0420,
SouthAfrica/KRISP-0421/2020,Illumina Miseq,ARTIC_V2,KRISP-0421,
SouthAfrica/KRISP-0423/2020,Illumina Miseq,ARTIC_V2,KRISP-0423,
SouthAfrica/KRISP-0426/2020,Illumina Miseq,ARTIC_V2,KRISP-0426,
SouthAfrica/KRISP-0431/2020,Illumina Miseq,ARTIC_V2,KRISP-0431,
SouthAfrica/KRISP-0435/2020,Illumina Miseq,ARTIC_V2,KRISP-0435,
SouthAfrica/KRISP-0436/2020,Illumina Miseq,ARTIC_V2,KRISP-0436,
SouthAfrica/KRISP-0440/2020,Illumina Miseq,ARTIC_V2,KRISP-0440,
SouthAfrica/KRISP-0441/2020,Illumina Miseq,ARTIC_V2,KRISP-0441,
SouthAfrica/KRISP-0445/2020,Illumina Miseq,ARTIC_V2,KRISP-0445,
SouthAfrica/KRISP-0446/2020,Illumina Miseq,ARTIC_V2,KRISP-0446,
SouthAfrica/KRISP-045/2020,Illumina Miseq,ARTIC_V2,KRISP-045,
SouthAfrica/KRISP-0450/2020,Illumina Miseq,ARTIC_V2,KRISP-0450,
SouthAfrica/KRISP-0458/2020,Illumina Miseq,ARTIC_V2,KRISP-0458,
SouthAfrica/KRISP-0460/2020,Illumina Miseq,ARTIC_V2,KRISP-0460,
SouthAfrica/KRISP-0461/2020,Illumina Miseq,ARTIC_V2,KRISP-0461,
SouthAfrica/KRISP-0462/2020,Illumina Miseq,ARTIC_V2,KRISP-0462,
SouthAfrica/KRISP-0464/2020,Illumina Miseq,ARTIC_V2,KRISP-0464,
SouthAfrica/KRISP-0468/2020,Illumina Miseq,ARTIC_V2,KRISP-0468,
SouthAfrica/KRISP-0469/2020,Illumina Miseq,ARTIC_V2,KRISP-0469,
SouthAfrica/KRISP-0473/2020,Illumina Miseq,ARTIC_V2,KRISP-0473,
SouthAfrica/KRISP-0474/2020,Illumina Miseq,ARTIC_V2,KRISP-0474,
SouthAfrica/KRISP-0475/2020,Illumina Miseq,ARTIC_V2,KRISP-0475,
SouthAfrica/KRISP-0478/2020,Illumina Miseq,ARTIC_V2,KRISP-0478,
SouthAfrica/KRISP-0481/2020,Illumina Miseq,ARTIC_V2,KRISP-0481,
SouthAfrica/KRISP-0485/2020,Illumina Miseq,ARTIC_V2,KRISP-0485,
