listed_technology,simple_tech
OxfordNanoporeTechnologiesGridion,ONT
OxfordNanoporeTechnologiesGridION,ONT
OxfordNanoporetechnologiesGridIon,ONT
OxfordNanoporeTechnology,ONT
Sanger,Sanger
SANGER,Sanger
Sangerdideoxysequencing,Sanger
SangerNanoporeMinION,Sanger
unknown,Not_listed
NanoporeMinION,ONT
